run_id,process_stage_id,stage_order,stage_type,reactor_type,scale_level,reactor_material,reactor_size_summary,reactor_setup_summary,catalyst_loading_mass_g,temperature_setpoint_C,temperature_range_reported_C,temperature_program_summary,holding_time_min,heating_rate_C_min,cooling_condition,pressure_original,pressure_kPa,carbon_source,carbon_source_flow_original,carbon_source_flow_sccm,reducing_gas,reducing_gas_flow_original,reducing_gas_flow_sccm,inert_gas,inert_gas_flow_original,inert_gas_flow_sccm,cofeed_or_reactive_gas,cofeed_flow_original,cofeed_flow_sccm,total_flow_original,total_flow_sccm,gas_composition_summary,GHSV_or_residence_time,process_note
PAPER_2012_DUBEY_SG1,SG1_S01_HEATING,1,heating,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,Ar,1000 sccm,1000,not_reported,not_reported,not_reported,1000 sccm,1000,Ar only,not_reported,Heating rate and time were not reported.
PAPER_2012_DUBEY_SG1,SG1_S02_PRETREAT,2,pretreatment,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,20,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,H2,200 sccm,200,Ar,800 sccm,800,not_reported,not_reported,not_reported,1000 sccm,1000,Ar:H2 = 800:200 sccm (4:1),not_reported,The authors describe this step as catalyst pretreatment.
PAPER_2012_DUBEY_SG1,SG1_S03_GROWTH,3,growth,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,30,not_reported,not_applicable,not_reported,not_reported,CH4,1000 sccm,1000,H2,200 sccm,200,Ar,1000 sccm,1000,not_reported,not_reported,not_reported,2200 sccm,2200,Ar:CH4:H2 = 1000:1000:200 sccm (5:5:1),not_reported,"[calculated] CH4_volume_fraction_percent = 1000/2200 × 100 = 45.45%; all gas flows are reported values. Only one growth temperature was reported, so no temperature effect was assigned."
PAPER_2012_DUBEY_SG1,SG1_S04_COOLING,4,cooling,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,not_reported,not_reported,start 900 C,not_reported,not_reported,cooled to room temperature in Ar,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,Ar,500 sccm,500,not_reported,not_reported,not_reported,500 sccm,500,Ar only,not_reported,not_reported
PAPER_2012_DUBEY_SG2,SG2_S01_HEATING,1,heating,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,Ar,1000 sccm,1000,not_reported,not_reported,not_reported,1000 sccm,1000,Ar only,not_reported,Heating rate and time were not reported.
PAPER_2012_DUBEY_SG2,SG2_S02_PRETREAT,2,pretreatment,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,20,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,H2,200 sccm,200,Ar,800 sccm,800,not_reported,not_reported,not_reported,1000 sccm,1000,Ar:H2 = 800:200 sccm (4:1),not_reported,The authors describe this step as catalyst pretreatment.
PAPER_2012_DUBEY_SG2,SG2_S03_GROWTH,3,growth,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,30,not_reported,not_applicable,not_reported,not_reported,CH4,1000 sccm,1000,H2,200 sccm,200,Ar,1000 sccm,1000,not_reported,not_reported,not_reported,2200 sccm,2200,Ar:CH4:H2 = 1000:1000:200 sccm (5:5:1),not_reported,"[calculated] CH4_volume_fraction_percent = 1000/2200 × 100 = 45.45%; all gas flows are reported values. Only one growth temperature was reported, so no temperature effect was assigned."
PAPER_2012_DUBEY_SG2,SG2_S04_COOLING,4,cooling,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,not_reported,not_reported,start 900 C,not_reported,not_reported,cooled to room temperature in Ar,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,Ar,500 sccm,500,not_reported,not_reported,not_reported,500 sccm,500,Ar only,not_reported,not_reported
PAPER_2012_DUBEY_SG3,SG3_S01_HEATING,1,heating,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,Ar,1000 sccm,1000,not_reported,not_reported,not_reported,1000 sccm,1000,Ar only,not_reported,Heating rate and time were not reported.
PAPER_2012_DUBEY_SG3,SG3_S02_PRETREAT,2,pretreatment,quartz tube reactor in tube furnace,lab_batch_large_diameter_tube,quartz,10 cm inner diameter; 120 cm length,quartz boat at reactor center,0.1,900,not_reported,not_reported,20,not_reported,not_applicable,not_reported,not_reported,not_applicable,not_reported,not_reported,H2,200 sccm,200,Ar,800 sccm,800,not_reported,not_reported,not_reported,1000 sccm,1000,Ar:H2 = 800:200 sccm (4:1),not_reported,The authors describe this step as catalyst pretreatment.
