evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P004_0001,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_NIMO,catalyst_system,P004_NIMO_CAT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.2-5, Experimental and Tables 1-2",Tables,Total metals fixed at 30 wt%; equal mass ratio; calcined 500 C and H2-reduced.,NiMo/MgO; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0002,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_CONIMO,catalyst_system,P004_CONIMO_CAT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.2-5, Experimental and Tables 1-2",Tables,Total metals fixed at 30 wt%; equal mass ratio; calcined 500 C and H2-reduced.,CoNiMo/MgO; Co; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0003,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_FENIMO,catalyst_system,P004_FENIMO_CAT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.2-5, Experimental and Tables 1-2",Tables,Total metals fixed at 30 wt%; equal mass ratio; calcined 500 C and H2-reduced.,FeNiMo/MgO; Fe; Ni; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0004,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_COFEMO,catalyst_system,P004_COFEMO_CAT,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"pp.2-5, Experimental and Tables 1-2",Tables,Total metals fixed at 30 wt%; equal mass ratio; calcined 500 C and H2-reduced.,CoFeMo/MgO; Co; Fe; Mo; wetness impregnation,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0005,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_NIMO,reactor_process_gas,P004_NIMO_REDUCTION,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Catalyst reduced by H2 (75 mL/min) at 10 C/min until 1000 C.,reduction; 1000; H2 reduction; Catalyst reduced while heating to 1000 C.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0006,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_NIMO,reactor_process_gas,P004_NIMO_GROWTH,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.6, Evaluation; Fig. 4 caption",Fig. 4,"All catalytic tests reported at 800 C, 1 atm, CH4:CO2=1.5:1, GHSV 48,000 for 3 h.",growth; 800; CH4:CO2=1.5:1; Result section identifies 800 C; method wording around 1000 C feed is internally ambiguous.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0007,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_NIMO,reactor_process_gas,P004_NIMO_COOL,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Biogas switched to He after 3 h.,cooling; He cooling,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0008,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_CONIMO,reactor_process_gas,P004_CONIMO_REDUCTION,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Catalyst reduced by H2 (75 mL/min) at 10 C/min until 1000 C.,reduction; 1000; H2 reduction; Catalyst reduced while heating to 1000 C.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0009,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_CONIMO,reactor_process_gas,P004_CONIMO_GROWTH,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.6, Evaluation; Fig. 4 caption",Fig. 4,"All catalytic tests reported at 800 C, 1 atm, CH4:CO2=1.5:1, GHSV 48,000 for 3 h.",growth; 800; CH4:CO2=1.5:1; Result section identifies 800 C; method wording around 1000 C feed is internally ambiguous.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P004_0010,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_CONIMO,reactor_process_gas,P004_CONIMO_COOL,record_level,record_support,reported,Experimental; Tables 1-7; Figs. 1-8,"p.3, Production process",not_reported,Biogas switched to He after 3 h.,cooling; He cooling,high,not_applicable,migrated_from_v0.3_row_evidence
