evidence_id,source_id,run_id,target_table,target_record_id,target_fields,evidence_type,value_status,source_section,source_locator,source_object_ref,evidence_text,evidence_summary,confidence,linked_issue_id,notes
EVID_P001_0001,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,catalyst_system,CAT_DUBEY_SG1,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,PDF pp. 2-5; Section 2.1; Section 3.2; Table 1; Figs. 1-3,Section 2.1; Section 3.2; Table 1; Figs.,"Air decomposition produced low BET area, large pores and non-uniform Fe-Mo dispersion; Table 1 reports 60 m²/g.",SG-1; Fe; Mo; citrate precursor sol-gel,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0002,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG2,catalyst_system,CAT_DUBEY_SG2,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,PDF pp. 2-5; Section 2.1; Section 3.2; Table 1; Figs. 1-3,Section 2.1; Section 3.2; Table 1; Figs.,Ar decomposition produced 3-6 nm dispersed particles and 202 m²/g BET area; these are reported catalyst observations.,SG-2; Fe; Mo; citrate precursor sol-gel,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0003,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG3,catalyst_system,CAT_DUBEY_SG3,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,PDF pp. 2-5; Section 2.1; Section 3.2; Table 1; Figs. 1-3,Section 2.1; Section 3.2; Table 1; Figs.,H2 decomposition produced 3-6 nm dispersed particles and 210 m²/g BET area; Mo2C was also observed.,SG-3; Fe; Mo; citrate precursor sol-gel,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0004,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,reactor_process_gas,SG1_S01_HEATING,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,Catalyst was heated to 900 °C under Ar at 1000 sccm.,heating; 900; Ar only; Heating rate and time were not reported.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0005,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,reactor_process_gas,SG1_S02_PRETREAT,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,At 900 °C the catalyst was pretreated for 20 min in Ar/H2 at 800/200 sccm.,pretreatment; 900; Ar:H2 = 800:200 sccm (4:1); The authors describe this step as catalyst pretreatment.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0006,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,reactor_process_gas,SG1_S03_GROWTH,record_level,record_support,calculated,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,CNT growth used Ar/CH4/H2 at 1000/1000/200 sccm and 900 °C for 30 min.,"growth; 900; Ar:CH4:H2 = 1000:1000:200 sccm (5:5:1); [calculated] CH4_volume_fraction_percent = 1000/2200 × 100 = 45.45%; all gas flows are reported values. Only one growth temperature was reported, so no temperature effect was assigned.",high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0007,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG1,reactor_process_gas,SG1_S04_COOLING,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,The reactor was cooled to room temperature under Ar at 500 sccm.,cooling; Ar only,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0008,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG2,reactor_process_gas,SG2_S01_HEATING,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,Catalyst was heated to 900 °C under Ar at 1000 sccm.,heating; 900; Ar only; Heating rate and time were not reported.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0009,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG2,reactor_process_gas,SG2_S02_PRETREAT,record_level,record_support,reported,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,At 900 °C the catalyst was pretreated for 20 min in Ar/H2 at 800/200 sccm.,pretreatment; 900; Ar:H2 = 800:200 sccm (4:1); The authors describe this step as catalyst pretreatment.,high,not_applicable,migrated_from_v0.3_row_evidence
EVID_P001_0010,P001_Dubey_2012_FeMo_MgO_tMWCNT,PAPER_2012_DUBEY_SG2,reactor_process_gas,SG2_S03_GROWTH,record_level,record_support,calculated,Sections 2.1-3.3; Table 1; Figs. 6-9,"PDF p. 2, Section 2.2",Section 2.2,CNT growth used Ar/CH4/H2 at 1000/1000/200 sccm and 900 °C for 30 min.,"growth; 900; Ar:CH4:H2 = 1000:1000:200 sccm (5:5:1); [calculated] CH4_volume_fraction_percent = 1000/2200 × 100 = 45.45%; all gas flows are reported values. Only one growth temperature was reported, so no temperature effect was assigned.",high,not_applicable,migrated_from_v0.3_row_evidence
