source_id,input_fulltext_id,input_content_hash,parser_version,parse_status,failure_reason,parse_quality,page_count,extracted_char_count,table_count,reference_section_detected,experimental_section_detected,ocr_required,fulltext_relevance_status,candidate_extract_eligible,promotion_reason,section_count,span_count,warnings_json,raw_text_path,parsed_text_path,created_at,updated_at
LIT_010B9BF252F13139,FT_AE834F6789D01887D3F8,42df7ef02687b8e60a5fd09b6eafeb864898805c8c167c4908d1fd350894cc17,cnt_section_rules_v7,success,,good,14,53850,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,23,127,"[""page_3_two_column_reading_order"", ""page_6_two_column_reading_order"", ""page_11_two_column_reading_order"", ""page_12_two_column_reading_order"", ""page_13_two_column_reading_order""]",data/raw/fulltext/text/LIT_010B9BF252F13139.txt,data/interim/parsed_text/LIT_010B9BF252F13139.txt,2026-07-16T04:25:29Z,2026-07-16T04:25:29Z
LIT_02606F92F0B40447,FT_8E6DF30C829CA9024D47,5a652c09254e6a7961d1ac117f538a62b4815cd299179976873baa9e32eb50a5,cnt_section_rules_v7,success,,good,114,110846,30,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,162,297,"[""page_73_two_column_reading_order"", ""page_74_two_column_reading_order"", ""page_89_two_column_reading_order""]",data/raw/fulltext/text/LIT_02606F92F0B40447.txt,data/interim/parsed_text/LIT_02606F92F0B40447.txt,2026-07-16T04:05:19Z,2026-07-16T04:05:19Z
LIT_02F3CC774E37BDAD,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:37:12Z,2026-07-16T04:37:12Z
LIT_043C8CED35E14D8A,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:43:01Z,2026-07-16T04:43:01Z
LIT_0682357008FA0412,FT_AF0287EEC3082F82C37A,dc85e16355b1e042f4f4b3dc003c567cf6378e1c06cdcf5fbba13dc3efd7f0d8,cnt_section_rules_v7,success,,good,19,68006,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,25,158,"[""page_17_two_column_reading_order"", ""page_18_two_column_reading_order"", ""page_19_two_column_reading_order""]",data/raw/fulltext/text/LIT_0682357008FA0412.txt,data/interim/parsed_text/LIT_0682357008FA0412.txt,2026-07-16T04:26:42Z,2026-07-16T04:26:42Z
LIT_06B37399F25D06D1,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:43:46Z,2026-07-16T04:43:46Z
LIT_0705FD92BBA5C6D2,FT_80711691D5D0F87C284A,140e23e8c360f3542e9a19cc6e252343bfbe1b68bf9da885f8443d0cf888aacc,cnt_section_rules_v7,success,,good,5,10448,0,1,1,0,candidate_extract,1,fulltext_cnt_identity+experimental_section+multi_type_experimental_evidence,16,50,[],data/raw/fulltext/text/LIT_0705FD92BBA5C6D2.txt,data/interim/parsed_text/LIT_0705FD92BBA5C6D2.txt,2026-07-16T04:38:51Z,2026-07-16T04:38:51Z
LIT_0868010ABB2FC74E,FT_DCB5167FB8CC5CF5A0A2,0d50103498769e955314ce0c0da64f347c7094e130b1a8d82a635adb42359e64,cnt_section_rules_v7,success,,partial,6,17874,1,0,0,0,insufficient_experimental_evidence,0,requires_cnt_identity_experimental_section_and_at_least_two_evidence_types,18,71,"[""page_3_two_column_reading_order"", ""page_5_two_column_reading_order""]",data/raw/fulltext/text/LIT_0868010ABB2FC74E.txt,data/interim/parsed_text/LIT_0868010ABB2FC74E.txt,2026-07-16T04:24:33Z,2026-07-16T04:24:33Z
LIT_09E1F558A5050320,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:43:40Z,2026-07-16T04:43:40Z
LIT_0A1EEAB981A7FC27,,,cnt_section_rules_v7,skipped,no_available_fulltext,metadata_only,0,0,0,0,0,0,needs_fulltext_review,0,parse_status_skipped:no_available_fulltext,0,0,[],,,2026-07-16T04:42:50Z,2026-07-16T04:42:50Z
